url,source_file,category,pub_date,body_words,noindex_status,canonical_url,sitemap_status,http_status,has_video_embed,has_video_object,has_news_article,has_breadcrumb_list,technical_class,gsc_indexing_status
"https://thesamachardaily.in/404/","src/pages/404.md","Static","N/A",0,"INDEX","https://thesamachardaily.in/404.html","OMITTED","200 OK","NO","NO","NO","NO","CLASS C — NOT INDEXABLE (404/ERR)","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/about/","src/pages/about.md","Static","N/A",341,"INDEX","https://thesamachardaily.in/about/","IN_SITEMAP","200 OK","NO","NO","NO","NO","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/7-essential-hr-software-features-you-cant-ignore/","src/articles/business/7-essential-hr-software-features-you-cant-ignore.md","Business","2026-08-29T11:31:15Z",129,"INDEX","https://thesamachardaily.in/articles/business/7-essential-hr-software-features-you-cant-ignore/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/alex-rajak-launches-profundity-operational-value-assessment-to-strengthen-firms/","src/articles/business/alex-rajak-launches-profundity-operational-value-assessment-to-strengthen-firms.md","Business","2026-09-07T12:44:41Z",295,"INDEX","https://thesamachardaily.in/articles/business/alex-rajak-launches-profundity-operational-value-assessment-to-strengthen-firms/","IN_SITEMAP","200 OK","NO","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/analysts-probe-schds-fiveyear-outlook-as-dividends-remain-core-to-returns/","src/articles/business/analysts-probe-schds-fiveyear-outlook-as-dividends-remain-core-to-returns.md","Business","2026-09-07T04:44:39Z",269,"INDEX","https://thesamachardaily.in/articles/business/analysts-probe-schds-fiveyear-outlook-as-dividends-remain-core-to-returns/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/ap-sports-summarybrief-at-848-pm-edt/","src/articles/business/ap-sports-summarybrief-at-848-pm-edt.md","Business","2026-08-29T12:50:02Z",180,"INDEX","https://thesamachardaily.in/articles/business/ap-sports-summarybrief-at-848-pm-edt/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims/","src/articles/business/arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims.md","Business","2026-09-16T12:40:34Z",53,"INDEX","https://thesamachardaily.in/articles/business/arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims/","IN_SITEMAP","200 OK","NO","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt/","src/articles/business/asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt.md","Business","2026-09-17T18:40:35Z",116,"INDEX","https://thesamachardaily.in/articles/business/asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/asian-tech-shares-surge-as-us-jobs-report-boosts-growth-hopes-market-wrap/","src/articles/business/asian-tech-shares-surge-as-us-jobs-report-boosts-growth-hopes-market-wrap.md","Business","2026-09-07T16:44:58Z",246,"INDEX","https://thesamachardaily.in/articles/business/asian-tech-shares-surge-as-us-jobs-report-boosts-growth-hopes-market-wrap/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/ather-konarc-electric-scooter-launch-live-updates-specifications-prices-images/","src/articles/business/ather-konarc-electric-scooter-launch-live-updates-specifications-prices-images.md","Business","2026-08-29T16:50:00Z",167,"INDEX","https://thesamachardaily.in/articles/business/ather-konarc-electric-scooter-launch-live-updates-specifications-prices-images/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/bank-of-canada-holds-policy-rate-as-inflation-risks-prompt-possible-multiple-hikes/","src/articles/business/bank-of-canada-holds-policy-rate-as-inflation-risks-prompt-possible-multiple-hikes.md","Business","2026-09-03T04:44:36Z",251,"INDEX","https://thesamachardaily.in/articles/business/bank-of-canada-holds-policy-rate-as-inflation-risks-prompt-possible-multiple-hikes/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
"https://thesamachardaily.in/articles/business/bank-strike-hits-assam-demands-fiveday-week-pension-overhaul-pli-repeal/","src/articles/business/bank-strike-hits-assam-demands-fiveday-week-pension-overhaul-pli-repeal.md","Business","2026-09-12T16:55:59Z",77,"INDEX","https://thesamachardaily.in/articles/business/bank-strike-hits-assam-demands-fiveday-week-pension-overhaul-pli-repeal/","IN_SITEMAP","200 OK","YES","NO","YES","YES","CLASS A — INDEXABLE","CLASS F — UNKNOWN GOOGLE STATUS"
