page_url,historical_clicks,historical_impressions,historical_ctr,historical_position,status,evidence_availability,notes
"https://thesamachardaily.in/","N/A","N/A","N/A","N/A","ACTIVE_HOMEPAGE","GSC DATA UNAVAILABLE IN CLI","Historical baseline: ~242 total clicks / 3mo across domain"
"https://thesamachardaily.in/articles/sports/hamilton-ferrari-move-shocks-f1-paddock/","109","~3200","3.41%","11.2","HISTORICAL_TOP_PERFORMER","GSC DATA UNAVAILABLE IN CLI","Historically generated ~45% of total site clicks"
"https://thesamachardaily.in/articles/tech/apple-iphone-17-pro-max-price-falls-to-rs-74990-at-croma-adds-exchange-bonus-free-cas/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (Croma retail deal query: iPhone 17 Pro Max effective ₹74,990 festive discount, exchange bonus structure, and bank card cashback)"
"https://thesamachardaily.in/articles/tech/lava-unveils-virat-curve-5g-smartphone-at-19999-launch-price/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (Lava Virat Curve 5G smartphone specifications: launch price ₹19,999, MediaTek Dimensity 7100, 120Hz curved AMOLED, 6,000mAh battery)"
"https://thesamachardaily.in/articles/business/google-ceo-sundar-pichai-reconnects-with-iit-batchmate-turned-renowned-monk/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (Biographical reunion query: Sundar Pichai meeting with IIT Kharagpur metallurgical batchmate turned monk Swami Mukundananda)"
"https://thesamachardaily.in/articles/business/hfcl-board-approves-820-crore-capex-boost-raising-total-fibre-expansion-spend-to-1800/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (Corporate finance & telecom infrastructure: HFCL board approval of ₹820 crore capex boost, raising optical fibre expansion to ₹1,800 crore)"
"https://thesamachardaily.in/articles/tech/apple-iphone-duo-production-slowdown-likely-extends-consumer-wait-times/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (Supply chain bottleneck query: iPhone Duo foldable production delays, display hinge yields, and estimated customer wait times)"
"https://thesamachardaily.in/articles/tech/google-aligns-with-openai-anthropic-meta-in-public-ai-hack-disclosures/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (AI cybersecurity policy query: Google, OpenAI, Anthropic, and Meta joint pact for public disclosure of AI security breaches and red-teaming vulnerabilities)"
"https://thesamachardaily.in/articles/tech/indias-semiconductor-drive-shifts-to-execution-says-ashwini-vaishnaw/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (India Semiconductor Mission policy query: Ashwini Vaishnaw on fab execution, Micron Sanand facility, Tata Electronics Dholera plant milestones)"
"https://thesamachardaily.in/articles/tech/nvidia-in-funding-talks-for-anthropics-potentially-massive-ipo/","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","INSUFFICIENT_DATA","ENRICHED_P0_DEPLOYED","GSC DATA UNAVAILABLE IN CLI","P0 Enriched in Phase 2C-2/6A/6B/6D/6E (AI venture capital & IPO investment: Nvidia talks to participate in Anthropic pre-IPO financing and Blackwell GPU compute allocation)"
