url,type,status_code,robots_meta,in_sitemap,canonical_url,canonical_status,has_video,word_count_est,forensic_classification,gsc_evidence_required
"https://thesamachardaily.in/404/","static",200,"index,follow","NO","https://thesamachardaily.in/404.html","EXPECTED_404_CANONICAL","NO",0,"INDEXABLE_CLEAN","NO"
"https://thesamachardaily.in/about/","static",200,"index,follow","YES","https://thesamachardaily.in/about/","SELF_CANONICAL","NO",0,"INDEXABLE_CLEAN","NO"
"https://thesamachardaily.in/articles/business/7-essential-hr-software-features-you-cant-ignore/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/7-essential-hr-software-features-you-cant-ignore/","SELF_CANONICAL","YES",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
"https://thesamachardaily.in/articles/business/alex-rajak-launches-profundity-operational-value-assessment-to-strengthen-firms/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/alex-rajak-launches-profundity-operational-value-assessment-to-strengthen-firms/","SELF_CANONICAL","NO",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
"https://thesamachardaily.in/articles/business/analysts-probe-schds-fiveyear-outlook-as-dividends-remain-core-to-returns/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/analysts-probe-schds-fiveyear-outlook-as-dividends-remain-core-to-returns/","SELF_CANONICAL","YES",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
"https://thesamachardaily.in/articles/business/ap-sports-summarybrief-at-848-pm-edt/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/ap-sports-summarybrief-at-848-pm-edt/","SELF_CANONICAL","YES",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
"https://thesamachardaily.in/articles/business/arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/arizona-home-lost-to-hoa-foreclosure-over-977-debt-owner-claims/","SELF_CANONICAL","NO",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
"https://thesamachardaily.in/articles/business/asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/asian-lng-demand-set-to-fall-310-as-prices-surge-after-qatarenergy-halt/","SELF_CANONICAL","YES",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
"https://thesamachardaily.in/articles/business/asian-tech-shares-surge-as-us-jobs-report-boosts-growth-hopes-market-wrap/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/asian-tech-shares-surge-as-us-jobs-report-boosts-growth-hopes-market-wrap/","SELF_CANONICAL","YES",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
"https://thesamachardaily.in/articles/business/ather-konarc-electric-scooter-launch-live-updates-specifications-prices-images/","article",200,"index,follow","YES","https://thesamachardaily.in/articles/business/ather-konarc-electric-scooter-launch-live-updates-specifications-prices-images/","SELF_CANONICAL","YES",0,"THIN_CONTENT_CRAWLED_AT_RISK","YES"
